TSExamples
date time TS1 TS2
2012-12-07 12:00:00   0.0000  0.1303
2012-12-07 14:00:00  -0.2658  0.1684
2012-12-07 16:00:00   1.2732  0.1676
2012-12-07 18:00:00   2.4621  0.6117
2012-12-07 20:00:00   1.0760  0.1348
2012-12-07 22:00:00  -0.1720 -0.4506
2012-12-08 02:00:00  -2.1943 -0.3459
2012-12-08 04:00:00  -0.9118  2.0208
2012-12-08 06:00:00  -0.4574  1.2753
2012-12-08 10:00:00   0.4273  1.9120
2012-12-08 12:00:00   0.7817  2.9502
2012-12-08 14:00:00   1.2922  1.7061
2012-12-08 16:00:00   0.7198  0.4829
2012-12-08 18:00:00   1.4423  0.6985
2012-12-08 20:00:00   0.9031 -0.1018
2012-12-08 22:00:00   0.5521  0.8358
2012-12-09 02:00:00   0.1427  0.0263
2012-12-09 04:00:00  -0.6946 -0.4222
2012-12-09 12:00:00   0.9449 -3.2809
2012-12-09 14:00:00   2.2684 -1.0891
2012-12-09 16:00:00   1.2113  1.6341
2012-12-09 18:00:00   0.6627  1.9335
2012-12-09 20:00:00   1.0711  0.6750
2012-12-09 22:00:00   0.7810 -0.8491
2012-12-10 00:00:00  -0.2171 -1.8324
2012-12-10 02:00:00   1.4454  0.4920
2012-12-10 04:00:00   0.1834  0.8982
2012-12-10 06:00:00   0.3725  2.7225
2012-12-10 08:00:00  -0.0239 -0.7933
2012-12-10 10:00:00  -0.5672 -1.2719
2012-12-10 12:00:00  -2.0217 -1.8671
2012-12-10 14:00:00  -1.8198  0.1373
2012-12-11 00:00:00  -4.2284 -0.1687
2012-12-11 02:00:00  -5.4249 -1.2198
2012-12-11 04:00:00  -5.3315  0.5650
2012-12-11 06:00:00  -6.0228  1.6485
2012-12-11 08:00:00  -5.8232  1.6485
2012-12-11 10:00:00  -5.3501 -2.0228
2012-12-11 12:00:00  -5.0969 -1.5986
2012-12-11 14:00:00  -5.5582  0.7743
2012-12-11 16:00:00  -5.4171  1.2623
2012-12-11 18:00:00  -3.3112  0.0474
2012-12-11 20:00:00  -4.2580  0.9418
2012-12-11 22:00:00  -4.7825  4.3506
2012-12-12 00:00:00  -4.2459  4.7781
2012-12-12 02:00:00  -4.7211  1.8707
2012-12-12 04:00:00  -3.9416 -1.1592
2012-12-12 06:00:00  -3.9496 -0.4333
2012-12-12 08:00:00  -4.2421  0.2575
2012-12-12 10:00:00  -3.8327  0.5978
2012-12-12 12:00:00  -1.9746 -0.2335
2012-12-12 14:00:00  -0.2191  0.4834
2012-12-12 16:00:00  -0.7646  0.5963
2012-12-12 18:00:00  -2.6246  0.9900
2012-12-12 20:00:00  -1.5778  0.1043
2012-12-12 22:00:00  -0.4824 -0.3773
2012-12-13 00:00:00  -0.9839 -1.0282
2012-12-13 02:00:00  -1.6941 -0.2584
2012-12-13 04:00:00  -0.8519  0.0772
2012-12-13 06:00:00   0.0715  1.0929
2012-12-13 08:00:00   0.5944  1.2105
2012-12-13 10:00:00  -0.6099  1.3124
2012-12-13 12:00:00  -0.6129  0.6943
2012-12-13 14:00:00  -1.0153  1.5951
2012-12-13 16:00:00  -0.6370  2.0334
2012-12-13 18:00:00  -1.7661  4.9365
2012-12-13 20:00:00  -1.8644  3.4876
2012-12-13 22:00:00  -4.4333  1.9888
2012-12-14 00:00:00  -2.0736 -2.5820
2012-12-14 02:00:00  -2.9071 -1.0470
2012-12-14 04:00:00  -2.9238 -0.1144
2012-12-14 06:00:00  -1.8570  2.3406
2012-12-14 08:00:00  -2.8617  1.7607
2012-12-14 10:00:00  -2.9085  0.9259
2012-12-14 12:00:00  -2.5938 -0.4715
2012-12-14 14:00:00  -3.0067 -1.1641
2012-12-14 16:00:00  -4.4007  1.2338
2012-12-14 18:00:00  -2.9096  2.3685
2012-12-14 20:00:00  -3.5804  2.7162
2012-12-14 22:00:00  -5.0498  0.8212
2012-12-15 00:00:00  -4.6838 -0.4148
2012-12-15 02:00:00  -3.8836  0.7308
2012-12-15 04:00:00  -4.1263  3.3157
